type,Avg Word Count,Avg Char Count,Avg Word Length,Avg TTR
ENFJ,1356.4,6784.41,5.01,0.38
ENFP,1328.92,6623.38,4.99,0.39
ENTJ,1282.19,6533.5,5.11,0.41
ENTP,1274.28,6449.93,5.06,0.41
ESFJ,1357.83,6777.0,5.0,0.38
ESFP,1079.12,5397.92,5.0,0.42
ESTJ,1292.15,6464.38,5.01,0.39
ESTP,1221.89,6096.37,4.99,0.41
INFJ,1348.53,6793.07,5.04,0.4
INFP,1314.15,6602.5,5.03,0.4
INTJ,1260.04,6436.88,5.12,0.42
INTP,1267.06,6460.6,5.1,0.42
ISFJ,1308.96,6539.02,5.0,0.4
ISFP,1199.28,6001.24,5.01,0.41
ISTJ,1280.47,6431.78,5.04,0.4
ISTP,1234.85,6207.43,5.03,0.42
