dimension,dim_label,model,macro_f1,accuracy,precision,recall,roc_auc
dim_IE,I/E,logistic_regression,0.7233,0.7867,0.711,0.7445,0.813
dim_IE,I/E,linear_svm,0.6989,0.7741,0.6905,0.7109,0.7857
dim_IE,I/E,random_forest,0.4369,0.7683,0.5512,0.5005,0.7368
dim_JP,J/P,logistic_regression,0.7029,0.7124,0.7013,0.7058,0.7848
dim_JP,J/P,linear_svm,0.6761,0.6876,0.675,0.6777,0.7546
dim_JP,J/P,random_forest,0.5403,0.6455,0.6539,0.5707,0.6858
dim_NS,N/S,logistic_regression,0.6878,0.8167,0.6658,0.738,0.8278
dim_NS,N/S,linear_svm,0.6782,0.8311,0.6649,0.6974,0.8047
dim_NS,N/S,random_forest,0.4668,0.8611,0.5977,0.5014,0.7339
dim_TF,T/F,logistic_regression,0.8087,0.8092,0.8085,0.8105,0.892
dim_TF,T/F,linear_svm,0.7825,0.7833,0.7822,0.7837,0.8641
dim_TF,T/F,random_forest,0.7601,0.7677,0.7774,0.7581,0.8448
