dimension,dim_label,comparison,feature,coefficient,direction,rank
dim_IE,I/E,Introvert vs Extrovert,enfps,7.656567,positive,1
dim_IE,I/E,Introvert vs Extrovert,entps,7.549594,positive,2
dim_IE,I/E,Introvert vs Extrovert,ne,4.01836,positive,3
dim_IE,I/E,Introvert vs Extrovert,entjs,3.532153,positive,4
dim_IE,I/E,Introvert vs Extrovert,enfjs,3.479899,positive,5
dim_IE,I/E,Introvert vs Extrovert,fun,2.624138,positive,6
dim_IE,I/E,Introvert vs Extrovert,sx,2.399914,positive,7
dim_IE,I/E,Introvert vs Extrovert,estps,2.371147,positive,8
dim_IE,I/E,Introvert vs Extrovert,bored,2.237247,positive,9
dim_IE,I/E,Introvert vs Extrovert,awesome,2.180431,positive,10
dim_IE,I/E,Introvert vs Extrovert,super,2.087593,positive,11
dim_IE,I/E,Introvert vs Extrovert,guys,1.989696,positive,12
dim_IE,I/E,Introvert vs Extrovert,friends,1.972482,positive,13
dim_IE,I/E,Introvert vs Extrovert,crazy,1.966096,positive,14
dim_IE,I/E,Introvert vs Extrovert,esfjs,1.92193,positive,15
dim_IE,I/E,Introvert vs Extrovert,infps,-5.142435,negative,1
dim_IE,I/E,Introvert vs Extrovert,infjs,-4.145502,negative,2
dim_IE,I/E,Introvert vs Extrovert,intps,-3.670872,negative,3
dim_IE,I/E,Introvert vs Extrovert,ni,-2.66992,negative,4
dim_IE,I/E,Introvert vs Extrovert,intjs,-2.240941,negative,5
dim_IE,I/E,Introvert vs Extrovert,games,-2.234077,negative,6
dim_IE,I/E,Introvert vs Extrovert,family,-2.067598,negative,7
dim_IE,I/E,Introvert vs Extrovert,anime,-1.882517,negative,8
dim_IE,I/E,Introvert vs Extrovert,wish,-1.869438,negative,9
dim_IE,I/E,Introvert vs Extrovert,dream,-1.823638,negative,10
dim_IE,I/E,Introvert vs Extrovert,quiet,-1.798871,negative,11
dim_IE,I/E,Introvert vs Extrovert,world,-1.784145,negative,12
dim_IE,I/E,Introvert vs Extrovert,mind,-1.759967,negative,13
dim_IE,I/E,Introvert vs Extrovert,inferior,-1.671549,negative,14
dim_IE,I/E,Introvert vs Extrovert,nature,-1.667206,negative,15
dim_NS,N/S,Intuitive vs Sensing,isfps,6.070897,positive,1
dim_NS,N/S,Intuitive vs Sensing,istps,6.030143,positive,2
dim_NS,N/S,Intuitive vs Sensing,isfjs,5.343689,positive,3
dim_NS,N/S,Intuitive vs Sensing,istjs,4.016185,positive,4
dim_NS,N/S,Intuitive vs Sensing,rant,3.350157,positive,5
dim_NS,N/S,Intuitive vs Sensing,esfjs,3.187819,positive,6
dim_NS,N/S,Intuitive vs Sensing,si,3.047732,positive,7
dim_NS,N/S,Intuitive vs Sensing,estps,3.046221,positive,8
dim_NS,N/S,Intuitive vs Sensing,se,3.002307,positive,9
dim_NS,N/S,Intuitive vs Sensing,rave,2.293894,positive,10
dim_NS,N/S,Intuitive vs Sensing,fun,2.067561,positive,11
dim_NS,N/S,Intuitive vs Sensing,type,2.037143,positive,12
dim_NS,N/S,Intuitive vs Sensing,car,1.9721,positive,13
dim_NS,N/S,Intuitive vs Sensing,don,1.957513,positive,14
dim_NS,N/S,Intuitive vs Sensing,sounds,1.761632,positive,15
dim_NS,N/S,Intuitive vs Sensing,infps,-4.762533,negative,1
dim_NS,N/S,Intuitive vs Sensing,infjs,-4.580444,negative,2
dim_NS,N/S,Intuitive vs Sensing,enfps,-3.892613,negative,3
dim_NS,N/S,Intuitive vs Sensing,intjs,-3.739946,negative,4
dim_NS,N/S,Intuitive vs Sensing,entps,-3.593244,negative,5
dim_NS,N/S,Intuitive vs Sensing,intps,-3.45365,negative,6
dim_NS,N/S,Intuitive vs Sensing,world,-3.353588,negative,7
dim_NS,N/S,Intuitive vs Sensing,ideas,-2.38687,negative,8
dim_NS,N/S,Intuitive vs Sensing,people,-2.210768,negative,9
dim_NS,N/S,Intuitive vs Sensing,dark,-2.009407,negative,10
dim_NS,N/S,Intuitive vs Sensing,nt,-2.00462,negative,11
dim_NS,N/S,Intuitive vs Sensing,human,-1.90228,negative,12
dim_NS,N/S,Intuitive vs Sensing,enfjs,-1.809089,negative,13
dim_NS,N/S,Intuitive vs Sensing,way,-1.790704,negative,14
dim_NS,N/S,Intuitive vs Sensing,ne,-1.784929,negative,15
dim_TF,T/F,Thinking vs Feeling,infps,5.914558,positive,1
dim_TF,T/F,Thinking vs Feeling,feel,5.271059,positive,2
dim_TF,T/F,Thinking vs Feeling,infjs,4.598737,positive,3
dim_TF,T/F,Thinking vs Feeling,love,4.218912,positive,4
dim_TF,T/F,Thinking vs Feeling,values,2.912374,positive,5
dim_TF,T/F,Thinking vs Feeling,enfps,2.684231,positive,6
dim_TF,T/F,Thinking vs Feeling,feeling,2.536488,positive,7
dim_TF,T/F,Thinking vs Feeling,beautiful,2.428921,positive,8
dim_TF,T/F,Thinking vs Feeling,life,2.2277,positive,9
dim_TF,T/F,Thinking vs Feeling,heart,2.171855,positive,10
dim_TF,T/F,Thinking vs Feeling,really,2.136808,positive,11
dim_TF,T/F,Thinking vs Feeling,sad,2.037445,positive,12
dim_TF,T/F,Thinking vs Feeling,song,1.929324,positive,13
dim_TF,T/F,Thinking vs Feeling,xd,1.910147,positive,14
dim_TF,T/F,Thinking vs Feeling,happy,1.869081,positive,15
dim_TF,T/F,Thinking vs Feeling,intps,-4.905143,negative,1
dim_TF,T/F,Thinking vs Feeling,intjs,-4.170803,negative,2
dim_TF,T/F,Thinking vs Feeling,entps,-3.683074,negative,3
